second,Volt
-112.5000E-09,+12.0000005700E-03
-112.0000E-09,+22.0000003464E-03
-111.5000E-09,+13.8750005280E-03
-111.0000E-09,-2.9999990948E-03
-110.5000E-09,-10.4999989271E-03
-110.0000E-09,-11.1249989131E-03
-109.5000E-09,-8.6249989690E-03
-109.0000E-09,-6.1249990249E-03
-108.5000E-09,+3.2500007659E-03
-108.0000E-09,+77.6249991028E-03
-107.5000E-09,-2.9999990949E-03
-107.0000E-09,-37.3749983263E-03
-106.5000E-09,-19.8749987175E-03
-106.0000E-09,-10.4999989271E-03
-105.5000E-09,-6.7499990109E-03
-105.0000E-09,-3.6249990808E-03
-104.5000E-09,+2.0000007936E-03
-104.0000E-09,+19.5000004023E-03
-103.5000E-09,+19.5000004023E-03
-103.0000E-09,+6.3750006957E-03
-102.5000E-09,-4.2499990668E-03
-102.0000E-09,-9.2499989550E-03
-101.5000E-09,-7.3749989970E-03
-101.0000E-09,-6.7499990109E-03
-100.5000E-09,-1.7499991226E-03
-100.0000E-09,+22.6250003327E-03
-99.5000E-09,+65.7499993682E-03
-99.0000E-09,-21.7499986757E-03
-98.5000E-09,-34.2499983962E-03
-98.0000E-09,-14.8749988293E-03
-97.5000E-09,-11.1249989131E-03
-97.0000E-09,-6.7499990109E-03
-96.5000E-09,-2.3749991087E-03
-96.0000E-09,+5.7500007097E-03
-95.5000E-09,+22.0000003464E-03
-95.0000E-09,+15.1250005001E-03
-94.5000E-09,+125.0008354E-06
-94.0000E-09,-7.3749989970E-03
-93.5000E-09,-9.2499989551E-03
-93.0000E-09,-10.4999989271E-03
-92.5000E-09,-5.4999990389E-03
-92.0000E-09,-1.1249991364E-03
-91.5000E-09,+60.7499994801E-03
-91.0000E-09,+18.8750004161E-03
-90.5000E-09,-30.4999984800E-03
-90.0000E-09,-22.3749986617E-03
-89.5000E-09,-13.6249988572E-03
-89.0000E-09,-9.2499989550E-03
-88.5000E-09,-499.9991506E-06
-88.0000E-09,+2.0000007935E-03
-87.5000E-09,+13.2500005421E-03
-87.0000E-09,+20.7500003743E-03
-86.5000E-09,+10.7500005978E-03
-86.0000E-09,-4.2499990668E-03
-85.5000E-09,-8.6249989690E-03
-85.0000E-09,-12.9999988712E-03
-84.5000E-09,-9.2499989550E-03
-84.0000E-09,-4.2499990668E-03
-83.5000E-09,+7.0000006820E-03
-83.0000E-09,+77.6249991027E-03
-82.5000E-09,-14.8749988294E-03
-82.0000E-09,-39.2499982844E-03
-81.5000E-09,-15.4999988153E-03
-81.0000E-09,-9.2499989550E-03
-80.5000E-09,-7.3749989969E-03
-80.0000E-09,-499.9991506E-06
-79.5000E-09,+3.8750007516E-03
-79.0000E-09,+18.8750004163E-03
-78.5000E-09,+16.3750004721E-03
-78.0000E-09,+2.6250007795E-03
-77.5000E-09,-6.7499990110E-03
-77.0000E-09,-10.4999989271E-03
-76.5000E-09,-9.2499989550E-03
-76.0000E-09,-4.8749990528E-03
-75.5000E-09,+125.0008356E-06
-75.0000E-09,+42.6249998854E-03
-74.5000E-09,+40.7499999271E-03
-74.0000E-09,-25.4999985919E-03
-73.5000E-09,-27.9999985359E-03
-73.0000E-09,-11.1249989131E-03
-72.5000E-09,-10.4999989271E-03
-72.0000E-09,-5.4999990389E-03
-71.5000E-09,-1.7499991227E-03
-71.0000E-09,+7.0000006818E-03
-70.5000E-09,+20.1250003883E-03
-70.0000E-09,+13.2500005420E-03
-69.5000E-09,-3.6249990808E-03
-69.0000E-09,-9.2499989551E-03
-68.5000E-09,-10.4999989271E-03
-68.0000E-09,-6.1249990249E-03
-67.5000E-09,-4.8749990528E-03
-67.0000E-09,+2.6250007798E-03
-66.5000E-09,+76.9999991168E-03
-66.0000E-09,-2.9999990949E-03
-65.5000E-09,-36.1249983543E-03
-65.0000E-09,-17.9999987594E-03
-64.5000E-09,-10.4999989271E-03
-64.0000E-09,-9.2499989550E-03
-63.5000E-09,-1.7499991227E-03
-63.0000E-09,+2.6250007796E-03
-62.5000E-09,+18.8750004163E-03
-62.0000E-09,+18.8750004163E-03
-61.5000E-09,+7.0000006817E-03
-61.0000E-09,-6.1249990249E-03
-60.5000E-09,-8.6249989690E-03
-60.0000E-09,-9.2499989550E-03
-59.5000E-09,-5.4999990389E-03
-59.0000E-09,-2.9999990947E-03
-58.5000E-09,+22.6250003326E-03
-58.0000E-09,+64.4999993962E-03
-57.5000E-09,-23.6249986338E-03
-57.0000E-09,-37.9999983124E-03
-56.5000E-09,-16.7499987874E-03
-56.0000E-09,-11.7499988991E-03
-55.5000E-09,-4.8749990528E-03
-55.0000E-09,-1.1249991366E-03
-54.5000E-09,+6.3750006958E-03
-54.0000E-09,+20.1250003883E-03
-53.5000E-09,+14.5000005140E-03
-53.0000E-09,+750.0008214E-06
-52.5000E-09,-8.6249989690E-03
-52.0000E-09,-10.4999989271E-03
-51.5000E-09,-7.9999989830E-03
-51.0000E-09,-4.2499990668E-03
-50.5000E-09,+1.3750008077E-03
-50.0000E-09,+63.8749994103E-03
-49.5000E-09,+16.3750004720E-03
-49.0000E-09,-32.9999984242E-03
-48.5000E-09,-22.9999986477E-03
-48.0000E-09,-12.3749988852E-03
-47.5000E-09,-8.6249989690E-03
-47.0000E-09,-1.7499991227E-03
-46.5000E-09,+1.3750008075E-03
-46.0000E-09,+13.2500005421E-03
-45.5000E-09,+20.1250003883E-03
-45.0000E-09,+10.1250006118E-03
-44.5000E-09,-6.1249990249E-03
-44.0000E-09,-12.9999988712E-03
-43.5000E-09,-9.2499989551E-03
-43.0000E-09,-8.6249989690E-03
-42.5000E-09,-3.6249990807E-03
-42.0000E-09,+11.3750005842E-03
-41.5000E-09,+80.1249990469E-03
-41.0000E-09,-18.6249987456E-03
-40.5000E-09,-39.8749982704E-03
-40.0000E-09,-15.4999988153E-03
-39.5000E-09,-8.6249989690E-03
